URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://interop.esante.gouv.fr/ig/fhir/ror/ValueSet/act-type-ror-valueset,0.2.1,active,,ActTypeRORValueSet,Valueset type d'acte,"Valueset type d'acte","StructureDefinition/ror-act-type","Internal"
https://interop.esante.gouv.fr/ig/fhir/ror/ValueSet/code-region-territorial-division-ror-valueset,0.2.1,active,,CodeRegionTerritorialDivisionRORValueSet,Fusion des valuesets pour le code de la division territoriale,"","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-territorial-division",
https://interop.esante.gouv.fr/ig/fhir/ror/ValueSet/ror-include-associated-data-vs,0.2.1,active,,RorIncludeAssociatedDataVS,Value Set afin d'étendre le Value Set pour query parameter includeAssociatedData,"Value Set pour étendre http://hl7.org/fhir/uv/bulkdata/ValueSet/include-associated-data et utiliser _[custom value] pour utiliser le query parameter includeAssociatedData",,"hl7.fhir.uv.bulkdata,Internal"
https://interop.esante.gouv.fr/ig/fhir/ror/ValueSet/ror-usage-context-type-vs,0.2.1,active,,RORUsageContextTypeVS,Value Set type pour le contexte d'usage de la fiche de saisie,"Extension du Value Set http://hl7.org/fhir/ValueSet/usage-context-type pour fixer le type de contexte d'usage de la fiche de saisie avec le code EG","StructureDefinition/ror-questionnaire","ans.fr.nos,THO"
https://mos.esante.gouv.fr/NOS/JDV_J130-CNAMAmeliSecteurConventionnement-RASS/FHIR/JDV-J130-CNAMAmeliSecteurConventionnement-RASS,1.1.0,active,"1.2.250.1.213.1.6.1.216",JDV_J130-CNAMAmeliSecteurConventionnement-RASS,null,"Secteur de conventionnement du professionnel libéral","Questionnaire/ror-questionnaire-offre-de-ville","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J16-ActeSpecifique-ROR/FHIR/JDV-J16-ActeSpecifique-ROR,1.1.0,active,"1.2.250.1.213.3.4.4",JDV_J16-ActeSpecifique-ROR,null,"Acte spécifique - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J17-ActiviteOperationnelle-ROR/FHIR/JDV-J17-ActiviteOperationnelle-ROR,1.1.0,active,"1.2.250.1.213.3.4.5",JDV_J17-ActiviteOperationnelle-ROR,null,"Activité Operationnelle - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J18-EquipementSpecifique-ROR/FHIR/JDV-J18-EquipementSpecifique-ROR,1.1.0,active,"1.2.250.1.213.3.4.6",JDV_J18-EquipementSpecifique-ROR,null,"Equipement spécifique - ROR","StructureDefinition/ror-location-equipment,Questionnaire/ror-questionnaire-offre-de-ville","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J185-TypeFermeture-ROR/FHIR/JDV-J185-TypeFermeture-ROR,1.1.0,active,"1.2.250.1.213.3.4.18",JDV_J185-TypeFermeture-ROR,null,"Destination d'usage du lieu pour le lieu de réalisation de l'offre.","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J186-ProfessionRessource-ROR/FHIR/JDV-J186-ProfessionRessource-ROR,1.1.0,active,"1.2.250.1.213.3.4.19",JDV_J186-ProfessionRessource-ROR,null,"Profession Ressource des offres dans le ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J187-NatureCapacite-ROR/FHIR/JDV-J187-NatureCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.20",JDV_J187-NatureCapacite-ROR,null,"Permet d'indiquer dans le ROR si la capacité est exprimée en lits ou en places","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
