Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.ror.json	41879	-	0	0	0	0	0	0	17	370	0	0	0	0	0	0	0	2	0	0	168	183	0	0	0	0	10	0	2
fsh-generated/resources/CapabilityStatement-ror-consommateur.json	31243	11	0	0	1	0	0	0	2	335	0	0	0	0	0	0	0	0	0	0	91	57	0	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-ror-serveur.json	31437	5	0	0	0	0	0	0	3	308	0	0	0	0	0	0	0	1	0	0	87	48	0	0	1	0	2	0	1
fsh-generated/resources/CodeSystem-act-type-ror-codesystem.json	839	3	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	14	1366	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-input-task-ror-codesystem.json	1390	2	0	0	1	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	13	79	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-output-task-ror-codesystem.json	860	3	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	10	46	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ror-include-associated-data-code-system.json	1044	3	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	10	45	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-usage-context-ror-codesystem.json	718	2	0	0	0	0	0	0	1	267	0	0	0	0	0	0	0	0	0	0	10	40	0	0	0	0	1	0	0
fsh-generated/resources/Location-ror-location-exemple.json	1663	4	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-ror-questionnaire-offre-de-ville.json	62011	10	0	0	0	0	0	0	5	10057	0	0	0	0	0	0	0	1	0	0	313	87488	0	0	1	0	12	0	0
